date_Ymd comments_num
2015-08-06 1
2015-08-08 1
2015-08-09 1
2015-08-10 4
2015-08-11 2
2015-08-12 1
2015-08-13 1
2015-08-15 6
2015-08-16 2
2015-08-17 2
2015-08-18 4
2015-08-19 1
2015-08-20 1
2015-08-21 2
2015-08-22 1
2015-08-23 3
2015-08-25 1
2015-08-26 4
2015-08-27 1
2015-08-28 4
2015-08-29 23
2015-08-30 4
2015-09-01 1
2015-09-02 3
2015-09-03 1
2015-09-04 1
2015-09-05 1
2015-09-06 2
2015-09-07 2
2015-09-10 32
2015-09-11 20
2015-09-12 5
2015-09-13 4
2015-09-14 2
2015-09-15 3
2015-09-16 1
2015-09-17 5
2015-09-18 6
2015-09-19 1
2015-09-21 2
2015-09-22 3
2015-09-25 2
2015-09-27 1
2015-09-28 4
2015-10-01 1
2015-10-03 2
2015-10-04 4
2015-10-06 2
2015-10-07 2
2015-10-08 1
2015-10-09 1
2015-10-10 1
2015-10-11 4
2015-10-12 3
2015-10-13 2
2015-10-14 2
2015-10-15 6
2015-10-16 3
2015-10-17 8
2015-10-18 1
2015-10-19 3
2015-10-20 2
2015-10-21 1
2015-10-22 2
2015-10-23 4
2015-10-24 20
2015-10-25 4
2015-10-28 1
2015-10-29 2
2015-10-30 2
2015-10-31 2
2015-11-01 2
2015-11-02 1
2015-11-03 3
2015-11-04 2
2015-11-06 6
2015-11-07 1
2015-11-08 4
2015-11-09 9
2015-11-10 5
2015-11-11 1
2015-11-12 5
2015-11-13 3
2015-11-14 3
2015-11-15 5
2015-11-16 2
2015-11-17 2
2015-11-18 2
2015-11-19 2
2015-11-20 2
2015-11-21 3
2015-11-22 1
2015-11-24 5
2015-11-25 36
2015-11-26 3
2015-11-27 13
2015-11-28 6
2015-11-29 5
2015-11-30 6
2015-12-01 2
2015-12-02 11
2015-12-03 7
2015-12-04 14
2015-12-05 6
2015-12-06 14
2015-12-07 6
2015-12-08 9
2015-12-09 4
2015-12-10 3
2015-12-11 3
2015-12-12 4
2015-12-13 7
2015-12-14 5
2015-12-15 7
2015-12-16 4
2015-12-18 2
2015-12-19 10
2015-12-20 7
2015-12-21 2
2015-12-22 5
2015-12-23 1
2015-12-24 1
2015-12-25 1
2015-12-26 4
2015-12-27 2
2015-12-28 4
2015-12-29 3
2015-12-30 3
2015-12-31 2
2016-01-01 5
2016-01-02 6
2016-01-03 4
2016-01-04 4
2016-01-05 3
2016-01-06 3
2016-01-07 5
2016-01-08 2
2016-01-09 7
2016-01-10 7
2016-01-11 6
2016-01-12 5
2016-01-13 2
2016-01-14 6
2016-01-15 5
2016-01-16 5
2016-01-17 3
2016-01-19 4
2016-01-20 3
2016-01-21 2
2016-01-22 2
2016-01-23 6
2016-01-24 2
2016-01-27 5
2016-01-29 4
2016-01-30 7
2016-01-31 1
2016-02-01 1
2016-02-02 4
2016-02-04 3
2016-02-05 2
2016-02-06 3
2016-02-07 2
2016-02-08 1
2016-02-09 5
2016-02-11 4
2016-02-13 2
2016-02-14 2
2016-02-15 3
2016-02-16 9
2016-02-17 4
2016-02-18 3
2016-02-19 3
2016-02-20 2
2016-02-21 1
2016-02-22 4
2016-02-23 8
2016-02-24 6
2016-02-25 5
2016-02-26 2
2016-02-27 1
2016-02-28 11
2016-02-29 4
2016-03-01 7
2016-03-02 2
2016-03-03 2
2016-03-04 5
