date_Ym comments_num
2014-04 249
2014-05 90
2014-06 23
2014-07 19
2014-08 23
2014-09 12
2014-10 16
2014-11 26
2014-12 46
2015-01 54
2015-02 43
2015-03 62
2015-04 38
2015-05 57
2015-06 105
2015-07 58
2015-08 82
2015-09 102
2015-10 86
2015-11 138
2015-12 153
2016-01 114
2016-02 95
2016-03 157
2016-04 165
2016-05 230
2016-06 277
2016-07 218
2016-08 177
2016-09 308
2016-10 286
2016-11 276
2016-12 362
2017-01 391
2017-02 469
2017-03 882
